run_label,source_csv,time,max_abs_magnetic_divergence,mean_magnetic_energy_density,pressure_weighted_extent_parallel_to_field,pressure_weighted_extent_perpendicular_to_field,pressure_weighted_axis_aspect_ratio
beta100_n064,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.11017363518476486,1.1920928955078125e-06,0.00010455724986968562,0.08624742452601764,0.08623991503121778,1.000087076788018
beta100_n064,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.12006233632564545,1.7136335372924805e-06,0.00010547679266892374,0.09090955875672792,0.09090076626053341,1.000096726315478
beta100_n064,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.13007862865924835,1.9371509552001953e-06,0.00010655697406036779,0.09548928593390892,0.09547917155740798,1.0001059328054063
beta100_n064,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.1401628702878952,1.9669532775878906e-06,0.00010777034185593948,0.09996563851933422,0.09995413254676266,1.000115112524899
beta100_n064,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.15009525418281555,1.8477439880371094e-06,0.0001089390498236753,0.1042537561384677,0.10424091049817664,1.0001232303155225
beta100_n064,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.16005617380142212,2.175569534301758e-06,0.00011047881707781926,0.10844269663113856,0.10842840680878761,1.0001317903930484
beta100_n064,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.17006812989711761,2.1457672119140625e-06,0.00011186760093551129,0.11254968152991947,0.11253391425456459,1.0001401113207455
beta100_n064,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.1800597459077835,2.4139881134033203e-06,0.00011341099889250472,0.11655668254395105,0.11653923098069044,1.0001497483990047
beta100_n064,outputs/single_bubble_mhd_beta100_n064/mhd_validation.csv,0.20000000298023224,2.5331974029541016e-06,0.00011681211617542431,0.1242984424395022,0.1242776109551188,1.0001676205731933
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.0,0.0,9.999985923059285e-05,0.0,0.0,nan
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.010158831253647804,3.129243850708008e-07,0.00010000477777794003,0.027223647316151664,0.02722364090231197,1.0000002355981596
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.020122012123465538,7.748603820800781e-07,0.00010008613753598183,0.032305169305575004,0.03230498420552194,1.0000057297676386
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.030046580359339714,1.6391277313232422e-06,0.00010031526471721008,0.04101018470198652,0.04100955580255499,1.0000153354363202
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.04004579409956932,2.175569534301758e-06,0.00010072191071230918,0.049279742518534043,0.049278251780004764,1.0000302514491775
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.05002439022064209,3.2782554626464844e-06,0.00010125557309947908,0.05648862780203755,0.056486368776983244,1.000039992392912
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.060016728937625885,3.1888484954833984e-06,0.00010190925968345255,0.0631138870475468,0.06311072325131369,1.0000501308822038
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.07005573064088821,3.6954879760742188e-06,0.00010271394421579316,0.06933793355808633,0.06933345616135665,1.0000645777230441
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.08003879338502884,4.708766937255859e-06,0.00010365743946749717,0.07521177616242336,0.07520571635884755,1.0000805763693132
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.09002028405666351,4.798173904418945e-06,0.00010472908616065979,0.08082577232690276,0.08081806030260921,1.0000954245160631
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.10007335245609283,4.9620866775512695e-06,0.00010589100565994158,0.08624151564614466,0.08623216420255383,1.0001084449599207
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.1100635975599289,6.258487701416016e-06,0.00010717482655309141,0.09140892183616572,0.09139794405239554,1.0001201097451808
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.12000244855880737,5.900859832763672e-06,0.0001085182957467623,0.09637045133602587,0.09635781956996378,1.0001310922779123
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.13000783324241638,6.459653377532959e-06,0.00010993587056873366,0.10120995061621545,0.10119566027894655,1.000141214921959
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.14002269506454468,7.0855021476745605e-06,0.00011152704246342182,0.10591365469233417,0.1058977097768318,1.000150569030586
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.1500207930803299,7.131136953830719e-06,0.00011318916222080588,0.11047861610644454,0.11046100573426099,1.0001594261437916
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.16006040573120117,7.3015689849853516e-06,0.00011500350228743628,0.11494100292973278,0.11492152942290253,1.0001694504670102
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.17008094489574432,9.03010368347168e-06,0.00011697470472427085,0.11928446065942051,0.11926304055069087,1.0001796039127524
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.18000636994838715,8.463859558105469e-06,0.0001190237162518315,0.12348615958547868,0.12346268648842304,1.0001901230057701
beta100_n128,outputs/single_bubble_mhd_beta100_n128/mhd_validation.csv,0.20000000298023224,8.702278137207031e-06,0.0001235583476955071,0.13167860539969847,0.13165094892994542,1.0002100742150197
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.0,0.0,0.009999999776482582,0.0,0.0,nan
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.010728311724960804,1.5273690223693848e-06,0.01000011432915926,0.02618952162596557,0.02618917368148467,1.0000132858136395
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.020469769835472107,3.337860107421875e-06,0.010002562776207924,0.031181239586521216,0.03117399809648442,1.0002322926310057
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.03016737848520279,3.874301910400391e-06,0.010013241320848465,0.03882594461180928,0.03878784195269303,1.0009823351132223
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.04000238701701164,5.0067901611328125e-06,0.010033995844423771,0.04636042058790272,0.04628431936932338,1.0016442116815436
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.050033438950777054,5.7220458984375e-06,0.010064175352454185,0.05328876415680947,0.053150087557932574,1.0026091509016941
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.060037508606910706,7.62939453125e-06,0.010103716515004635,0.05962491239353148,0.05939953210578549,1.0037943108262974
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.07005701959133148,1.0609626770019531e-05,0.010152273811399937,0.06548911189918072,0.06517984448456621,1.0047448320421775
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.08011665940284729,1.049041748046875e-05,0.010210059583187103,0.07104803660243812,0.07064267320324925,1.0057382228164353
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.09017997235059738,1.049041748046875e-05,0.01027629990130663,0.07636319754835812,0.07584464229607271,1.0068370716320494
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.10014156252145767,1.0967254638671875e-05,0.010347149334847927,0.08141835847633054,0.0807753778709808,1.007960106437097
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.11010615527629852,1.3947486877441406e-05,0.010422325693070889,0.08628898849748634,0.08552088281733393,1.0089814984930994
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.12001132220029831,1.5974044799804688e-05,0.01050335168838501,0.09096845662138571,0.09007532436053002,1.0099153932244629
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.13001766800880432,1.9311904907226562e-05,0.010597437620162964,0.09555327428180879,0.09452670454545412,1.0108601028808852
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.14015869796276093,1.9073486328125e-05,0.010699965059757233,0.10006572963869798,0.09889523075869519,1.0118357464866916
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.15016935765743256,1.8835067749023438e-05,0.010798249393701553,0.10439019963058724,0.10307351473392883,1.0127742310918306
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.16016410291194916,1.8596649169921875e-05,0.010916468687355518,0.10861221401008321,0.1071449505466909,1.0136941914285817
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.17003047466278076,2.1338462829589844e-05,0.011023816652595997,0.11265975053725832,0.11104016323506419,1.0145855990752246
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.18006369471549988,2.288818359375e-05,0.011146137490868568,0.11670059767813978,0.11491961620380368,1.0154976281088306
beta1_n064,outputs/single_bubble_mhd_beta1_n064/mhd_validation.csv,0.20000000298023224,2.6464462280273438e-05,0.011401605792343616,0.12446808714450458,0.12236098313577759,1.0172203912940847
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.0,0.0,0.009999992325901985,0.0,0.0,nan
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.010159200057387352,4.76837158203125e-06,0.010000485926866531,0.027223680706032247,0.02722317254532396,1.0000186664764161
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.02012590691447258,9.5367431640625e-06,0.010008536279201508,0.03230319168580783,0.032284722570046546,1.00057206983028
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.03005959279835224,1.615285873413086e-05,0.010031056590378284,0.04101462305126334,0.04095242357480844,1.0015188228443008
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.040078841149806976,2.193450927734375e-05,0.010070719756186008,0.049304628942809195,0.049156052989602066,1.003022536273174
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.05008603259921074,2.6702880859375e-05,0.010122300125658512,0.05654507347365105,0.05631137080593051,1.0041501860880988
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.06001179292798042,3.24249267578125e-05,0.01018320769071579,0.06312633019353132,0.06280235541076346,1.0051586406377417
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.07001897692680359,3.463029861450195e-05,0.010256603360176086,0.06933919355476252,0.06889113071439572,1.0065039263504667
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.08008342981338501,4.050135612487793e-05,0.01034131646156311,0.07528432600129813,0.07468625815453091,1.0080077361156556
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.0900595560669899,4.38690185546875e-05,0.010434133000671864,0.0809217472003878,0.08016649435009852,1.0094210537258994
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.10000074654817581,4.7087669372558594e-05,0.010532914660871029,0.08630188020891896,0.08539314830191766,1.0106417426347647
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.11006562411785126,5.626678466796875e-05,0.010641439817845821,0.09152771369906476,0.09046691457009427,1.0117258241204699
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.12001852691173553,6.103515625e-05,0.010755464434623718,0.09651166696202741,0.09529842895684379,1.0127309339562465
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.13004140555858612,5.91278076171875e-05,0.010875865817070007,0.1013709208039593,0.10000307889078557,1.0136779980011172
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.1400790810585022,6.389617919921875e-05,0.011007926426827908,0.10610405611149493,0.10457637279557444,1.0146083027655473
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.1500319242477417,7.2479248046875e-05,0.011142587289214134,0.11066303107998848,0.10897322826251021,1.0155065867499826
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.1600532829761505,7.82012939453125e-05,0.011283144354820251,0.11513765769949898,0.11327124442775899,1.0164773794193664
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.17006060481071472,7.939338684082031e-05,0.01143407542258501,0.11950332855681271,0.11745422606356211,1.0174459665005302
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.18005117774009705,7.724761962890625e-05,0.011589275673031807,0.12375758000111863,0.12152627738579418,1.018360659631176
beta1_n128,outputs/single_bubble_mhd_beta1_n128/mhd_validation.csv,0.20000000298023224,8.0108642578125e-05,0.011913350783288479,0.13197858711990043,0.12938026056391036,1.0200828669278075
